match,id_str,colors,poll_id,position,label,votes,color_name,division
1,1575829490923900928,#FBAED2,NA,1,NA,NA,NA,Pink
1,1575829490923900928,#FFA6C9,NA,2,NA,NA,NA,Pink
2,1575830537679171584,#F7468A,NA,1,NA,NA,NA,Pink
2,1575830537679171584,#FF3399,NA,2,NA,NA,NA,Pink
3,1575961082358685696,#F653A6,NA,1,NA,NA,NA,Pink
3,1575961082358685696,#FC80A5,NA,2,NA,NA,NA,Pink
4,1575966151016083456,#F091A9,NA,1,NA,NA,NA,Pink
4,1575966151016083456,#FF91A4,NA,2,NA,NA,NA,Pink
5,1576194822939226112,#FD0E35,NA,1,NA,NA,NA,Red
5,1576194822939226112,#ED0A3F,NA,2,NA,NA,NA,Red
6,1576208504867942400,#C62D42,NA,1,NA,NA,NA,Red
6,1576208504867942400,#CA3435,NA,2,NA,NA,NA,Red
8,1576291185659822080,#FF681F,1576291858694537216,1,red orange (left),340,red orange,Orange/Brown
8,1576291185659822080,#FF7034,1576291858694537216,2,burnt orange (right),90,burnt orange,Orange/Brown
9,1576323162588880896,#E97451,1576323484900560896,1,burnt sienna (left),193,burnt sienna,Orange/Brown
9,1576323162588880896,#FF8833,1576323484900560896,2,orange (right),333,orange,Orange/Brown
10,1576351878312759296,#FAA76C,1576352226184159232,1,tan (left),123,tan,Orange/Brown
10,1576351878312759296,#FFAE42,1576352226184159232,2,yellow orange (right),333,yellow orange,Orange/Brown
11,1576551225180401664,#FDD5B1,NA,1,NA,NA,NA,Orange/Brown
11,1576551225180401664,#FFCBA4,NA,2,NA,NA,NA,Orange/Brown
12,1576569474484162560,#FFB97B,1576569719129186304,1,macaroni and cheese (l),273,macaroni and cheese,Orange/Brown
12,1576569474484162560,#D27D46,1576569719129186304,2,raw sienna (r),152,raw sienna,Orange/Brown
15,1576649342500605952,#E6BE8A,NA,1,NA,NA,NA,Yellow
15,1576649342500605952,#FCD667,NA,2,NA,NA,NA,Yellow
17,1577046976784306176,#BB3385,1577047259329331200,1,red violet (left),225,red violet,Purple
17,1577046976784306176,#8E3179,1577047259329331200,2,plum (right),205,plum,Purple
22,1577283399730925568,#76D7EA,NA,1,NA,NA,NA,Blue
22,1577283399730925568,#6CDAE7,NA,2,NA,NA,NA,Blue
24,1577461958152163328,#0095B7,1577462204613693440,1,blue green (left),250,blue green,Blue
24,1577461958152163328,#00CCCC,1577462204613693440,2,robins egg blue (right),167,robins egg blue,Blue
25,1577783623780007936,#93DFB8,NA,1,NA,NA,NA,Green
25,1577783623780007936,#5FA777,NA,2,NA,NA,NA,Green
28,1577832677620727808,#7BA05B,1577833172636782592,1,asparagus (left),293,asparagus,Green
28,1577832677620727808,#B5B35C,1577833172636782592,2,olive green (right),82,olive green,Green
32,1578450878255616000,#F091A9,1578451097458335744,1,mauvelous (left),154,mauvelous,Pink
32,1578450878255616000,#F653A6,1578451097458335744,2,magenta (right),221,magenta,Pink
35,1578747142105333760,#FF8833,NA,1,NA,NA,NA,Orange/Brown
35,1578747142105333760,#FFAE42,NA,2,NA,NA,NA,Orange/Brown
36,1578780752799731712,#FFCBA4,NA,1,NA,NA,NA,Orange/Brown
36,1578780752799731712,#FFB97B,NA,2,NA,NA,NA,Orange/Brown
37,1578862377856299008,#B94E48,NA,1,NA,NA,NA,Orange/Brown
37,1578862377856299008,#9E5B40,NA,2,NA,NA,NA,Orange/Brown
38,1578863796679954432,#FCD667,NA,1,NA,NA,NA,Yellow
38,1578863796679954432,#FBE870,NA,2,NA,NA,NA,Yellow
39,1579074656719745024,#BB3385,1579074889168064512,1,red violet (left),310,red violet,Purple
39,1579074656719745024,#E29CD2,1579074889168064512,2,orchid (right),70,orchid,Purple
40,1579100349398646784,#8359A3,1579100570194878464,1,violet (aka purple) (l),138,violet,Purple
40,1579100349398646784,#6456B7,1579100570194878464,2,blue violet (right),195,blue violet,Purple
42,1579221365965877248,#93CCEA,1579221599429230592,1,cornflower,100,cornflower,Blue
42,1579221365965877248,#6CDAE7,1579221599429230592,2,turquoise blue,226,turquoise blue,Blue
43,1579255254343786496,#02A4D3,NA,1,NA,NA,NA,Blue
43,1579255254343786496,#0095B7,NA,2,NA,NA,NA,Blue
